recno,Name,Type,RAJ2000,DEJ2000,Vmag,l_FX,FX,Porb,GLON,GLAT,FX2
128,"SAX J1748.9-2021","T, G, A, B",267.2173458333333,-20.358999999999998,,<,0.1,,7.7,3.8,150
129,"IGR J17497-2821","T",267.4084875,-28.354824999999995,, ,30.0,,0.95,-0.45,
130,"SAX J1750.8-2900","T, B, A?",267.59999999999997,-29.03833333333333,, ,130.0,,0.45,-0.95,
131,"XTE J1751-305","T, P",267.8062083333333,-30.623166666666663,, ,56.0,0.71,359.2,-1.9,
132,"SAX J1752.3-3138","B",268.09999999999997,-31.62833333333333,, ,740.0,,358.4,-2.6,
133,"1RXS J175229.0-282951","T",268.0666666666666,-28.506111111111107,, ,60.0,,1.1,-1.0,
134,"Swift J1753.5-0127","T, M?, R",268.36787499999997,-1.4517277777777775,15.9, ,140.0,,24.9,12.2,
135,"SAX J1753.5-2349","B",268.39166666666665,-23.82333333333333,, ,,,5.3,1.1,
136,"4U 1755-33","T, U, D",269.66666666666663,-33.8075,18.5, ,100.0,4.4,357.2,-4.9,
137,"XTE J1755-324","T",268.8691666666666,-32.47749999999999,, ,180.0,,358.0,-3.6,
138,"4U 1758-20","A",270.3845833333333,-20.528888888888886,, ,700.0,,9.1,1.2,
139,"4U 1758-25","Z, R",270.28425,-25.078461111111107,, ,1250.0,,5.1,-1.0,
140,"GRS 1758-258","U, M, R",270.3016666666666,-25.743361111111106,, ,20.0,442.8,4.5,-1.4,
141,"IGR J17597-2201","B, D",269.94041666666664,-22.027499999999996,, ,17.0,,7.6,0.78,
142,"2S 1803-245","T, B, A, R",271.7113333333333,-24.591277777777773,,<,2.0,,6.1,-1.9,1000
143,"SAX J1805.5-2031","T",271.39166666666665,-20.513333333333332,, ,51.0,,9.55,0.34,
144,"SAX J1806.5-2215","T, B",271.64166666666665,-22.251666666666665,, ,9.0,,8.14,-0.7,
145,"XTE J1807-294","T, P",271.7491666666666,-29.408333333333328,, ,58.0,0.668,1.94,-4.3,
146,"SAX J1808.4-3658","T, P, B, R",272.11499999999995,-36.97886111111111,16.51, ,110.0,2.014167,355.4,-8.14,
147,"SAX J1810.8-2609","T, B",272.6852916666666,-26.15033333333333,, ,16.0,,5.2,-3.4,
148,"4U 1811-17","B, A, R",273.6314583333333,-17.157416666666663,, ,540.0,577.6,13.5,0.1,
149,"4U 1812-12","B, A",273.7756458333333,-12.096305555555555,, ,20.0,,18.0,2.4,
150,"XMMU J181227.8-181234","T",273.1158333333333,-18.209444444444443,, ,230.0,,12.36,0.034,
151,"4U 1813-14","B, Z, R",274.00578749999994,-14.036283333333332,, ,1500.0,,16.4,1.3,
152,"XTE J1814-338","T, P, B",273.4126666666666,-33.772861111111105,18.33, ,13.0,4.27462,358.7,-7.6,
153,"XTE J1817-330","T, R",274.4314166666666,-33.018833333333326,, ,1350.0,,359.8,-8.0,
154,"XTE J1818-245","T, R",274.60166666666663,-24.53833333333333,, ,510.0,,7.44,-4.2,
155,"SAX J1818.7+1424","B",274.6833333333333,14.40333333333333,, ,,,42.3,13.7,
156,"4U 1820-30","G, B, A, R",275.91866666666664,-30.36114444444444,, ,420.0,0.19,2.8,-7.9,
157,"2A 1822-371","P, E",276.44499999999994,-37.10527777777777,15.1, ,10.0,5.57,356.9,-11.3,25
158,"4U 1823-00"," ",276.34174999999993,-0.011944444444444443,22.0, ,25.0,3.2,29.9,5.8,62
159,"AX J1824.5-2451","B",276.12499999999994,-24.849999999999998,, ,2.0,,7.81,-5.56,
160,"GS 1826-238","T, B",277.36749999999995,-23.796977777777773,19.0, ,30.0,2.088,9.3,-6.1,
161,"SAX J1828.5-1037","B",277.1070833333333,-10.630833333333332,, ,,,20.88,0.18,
162,"XB 1832-330","G, B",278.9318708333333,-32.99076944444444,18.9, ,8.0,,1.5,-11.4,
163,"3A 1837+049","B, A, R",279.9898208333333,5.036,19.2, ,225.0,,36.1,4.8,
164,"EXO 1846-031","T, U",281.6658333333333,-3.1224999999999996,, ,300.0,,29.9,-0.9,
165,"4U 1850-087","G, B, A, R?",283.27025,-8.705666666666666,21.0, ,10.0,0.343,25.4,-4.3,
166,"IGR J18539+0727","T",283.47499999999997,7.449999999999999,, ,20.0,,39.8,2.85,
167,"XTE J1856+053","T",284.16249999999997,5.329999999999999,, ,70.0,,38.27,1.26,
168,"XTE J1859+226","T, M, R",284.67324999999994,22.658166666666663,15.31, ,1300.0,9.16,54.05,8.59,
